claim_id,paragraph,source,source_sha256,selector,json_pointer,values,displayed,limit
E11,R34,reports/robustness_v2/final/summary.json,c361078c4064015221e1f5ef65d419bdb27620f761c34682d63a53a3c802e4da,,input/alert_counts/2,"{""alerts26k"": 72, ""alerts52k"": 5, ""comparisons"": 520, ""crosses_zero26k"": 11, ""crosses_zero52k"": 4, ""new"": 0, ""no_alert"": 448, ""persists"": 5, ""repeats"": 100, ""resolved"": 67, ""scope"": ""individual_models""}",72/520 to 5/520; 100 selections,Shape contrast stability; not all neighbours/recipes or population confidence
E12,R42,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.0"", ""rule"": ""all_saved""}",,"{""contradiction"": ""262"", ""observations_per_model_pair"": ""26"", ""pairs"": ""325"", ""unanimous"": ""42"", ""unresolved"": ""21""}",42/262/21 of 325,26 selection conditions; two persistent opposite models suffice for contradiction
E13,R42,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""pr"", ""minimum_relative_difference"": ""0.0"", ""rule"": ""all_saved""}",,"{""contradiction"": ""221"", ""observations_per_model_pair"": ""26"", ""pairs"": ""325"", ""unanimous"": ""54"", ""unresolved"": ""50""}",54/221/50 of 325,26 selection conditions; two persistent opposite models suffice for contradiction
E14,R43,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.05"", ""rule"": ""all_saved""}",,"{""contradiction"": ""96"", ""pairs"": ""325"", ""unanimous"": ""10"", ""unresolved"": ""219""}",96/325,"Operational symmetric relative minimum, not significance or universal relevance"
E15,R43,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""pr"", ""minimum_relative_difference"": ""0.05"", ""rule"": ""all_saved""}",,"{""contradiction"": ""177"", ""pairs"": ""325"", ""unanimous"": ""36"", ""unresolved"": ""112""}",177/325,"Operational symmetric relative minimum, not significance or universal relevance"
E16,R43,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.1"", ""rule"": ""all_saved""}",,"{""contradiction"": ""19"", ""pairs"": ""325"", ""unanimous"": ""0"", ""unresolved"": ""306""}",19/325,"Operational symmetric relative minimum, not significance or universal relevance"
E17,R43,reports/field_pair_summary_v1/classification_summary.csv,da21ca3763747650e7a63609ae44b7409756c3537ede0379dac0e789567afe51,"{""metric"": ""pr"", ""minimum_relative_difference"": ""0.1"", ""rule"": ""all_saved""}",,"{""contradiction"": ""126"", ""pairs"": ""325"", ""unanimous"": ""26"", ""unresolved"": ""173""}",126/325,"Operational symmetric relative minimum, not significance or universal relevance"
E18,R44,reports/field_pair_summary_v1/model_panel_summary.csv,2eb20d1dbb9e03878474983a764c2acafa0763b180a835002cb660911772a539,"{""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.0"", ""panel"": ""all_ten""}",,"{""contradiction_and_alternatives"": ""225"", ""models"": ""10"", ""pairs"": ""325""}",225/325,"Same witnesses under alternatives; angle 26 conditions, spectrum three; six-model panel has fewer opportunities for opposition"
E19,R44,reports/field_pair_summary_v1/model_panel_summary.csv,2eb20d1dbb9e03878474983a764c2acafa0763b180a835002cb660911772a539,"{""metric"": ""pr"", ""minimum_relative_difference"": ""0.0"", ""panel"": ""all_ten""}",,"{""contradiction_and_alternatives"": ""196"", ""models"": ""10"", ""pairs"": ""325""}",196/325,"Same witnesses under alternatives; angle 26 conditions, spectrum three; six-model panel has fewer opportunities for opposition"
E20,R44,reports/field_pair_summary_v1/model_panel_summary.csv,2eb20d1dbb9e03878474983a764c2acafa0763b180a835002cb660911772a539,"{""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.0"", ""panel"": ""six_similarity""}",,"{""contradiction"": ""231"", ""models"": ""6"", ""pairs"": ""325""}",231/325,"Same witnesses under alternatives; angle 26 conditions, spectrum three; six-model panel has fewer opportunities for opposition"
E21,R44,reports/field_pair_summary_v1/model_panel_summary.csv,2eb20d1dbb9e03878474983a764c2acafa0763b180a835002cb660911772a539,"{""metric"": ""pr"", ""minimum_relative_difference"": ""0.0"", ""panel"": ""six_similarity""}",,"{""contradiction"": ""160"", ""models"": ""6"", ""pairs"": ""325""}",160/325,"Same witnesses under alternatives; angle 26 conditions, spectrum three; six-model panel has fewer opportunities for opposition"
E22,R45,reports/field_pair_summary_v1/control_summary.csv,eb6adf13f1c2925ee2115c28d22b39e4ddaac71167522901b7e62ea1afeb7ee2,"{""condition"": ""global_centered"", ""metric"": ""angle_p50"", ""minimum_relative_difference"": ""0.0""}",,"{""original_persistent_contradictions"": ""262"", ""same_original_witness_pair_retained"": ""145""}",145/262,Point control: same original opposite witness identities and signs retained in reference and variant
E23,R45,reports/field_pair_summary_v1/control_summary.csv,eb6adf13f1c2925ee2115c28d22b39e4ddaac71167522901b7e62ea1afeb7ee2,"{""condition"": ""global_centered"", ""metric"": ""pr"", ""minimum_relative_difference"": ""0.0""}",,"{""original_persistent_contradictions"": ""221"", ""same_original_witness_pair_retained"": ""218""}",218/221,Point control: same original opposite witness identities and signs retained in reference and variant
